ProviderName,LicenseType,ProviderType,ProviderTypeDescription,QualityRating,QualityRatingDescription,ProviderCapacity,PhysicalCity,PhysicalZipCode,CountyNumber,CountyName,PhoneNumber,HoursofOperation,DaysofOperation
Blossom's Blooms Learning Center,LICENSED,4,Center,0,Not Rated,31,GREENVILLE,38701,76,WASHINGTON,769-203-1325,4 PM - 11 AM,F
Shiny Weng Wu,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,GREENVILLE,38701,76,WASHINGTON,769-216-2521,11 AM - 11 AM,
Blue Ivey School,LICENSED,4,Center,0,Not Rated,63,GREENVILLE,38701,76,WASHINGTON,769-243-3145,3 PM - 8 AM,T W 
Stacy Price,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,GREENVILLE,38703,76,WASHINGTON,769-572-5784,11 AM - 5 PM,T W 
Stephanie Moore,UNLICENSED,6,Relative In-Home,0,Not Rated,5,GREENVILLE,38701,76,WASHINGTON,769-798-9473,4 PM - 10 AM,M W TH F
Stephanie Woods,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,GREENVILLE,38701,76,WASHINGTON,870-635-0261,10 AM - 4 PM,W 
Susan Oliver,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,GREENVILLE,38703,76,WASHINGTON,228-396-5294,10 AM - 12 PM,M T TH F
Susana Margarita Gaskill,UNLICENSED,6,Relative In-Home,0,Not Rated,5,GREENVILLE,38701,76,WASHINGTON,228-437-2020,12 PM - 10 AM,M T W TH 
Susie  Robey,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,GREENVILLE,38701,76,WASHINGTON,228-547-6850,1 PM - 4 PM,T TH 
Susie Gobble DeBorde,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,GREENVILLE,38701,76,WASHINGTON,228-623-8816,11 AM - 2 AM,M 
Sylvia Triana,UNLICENSED,6,Relative In-Home,0,Not Rated,5,GREENVILLE,38701,76,WASHINGTON,228-990-5536,2 PM - 5 PM,W 
Sylvia Urbina,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,GREENVILLE,38703,76,WASHINGTON,601-201-3755,3 PM - 10 AM,M T W TH F
Boone-AISD Third Base,LICENSED,4,Center,0,Not Rated,43,GREENVILLE,38701,76,WASHINGTON,601-214-6460,11 AM - 12 PM,TH 
Catalina Garcia,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,VICKSBURG,39180,75,WARREN,601-373-9349,4 PM - 10 AM,M W 
DeAnn DeCuire-Salawudeen,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,VICKSBURG,39180,75,WARREN,601-487-6954,3 PM - 4 AM,M TH 
Debbie  Ann Ford,UNLICENSED,6,Relative In-Home,0,Not Rated,5,VICKSBURG,39180,75,WARREN,601-487-8879,4 PM - 4 AM,W TH 
Debbie L Gates,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,VICKSBURG,39180,75,WARREN,601-490-1575,11 AM - 8 AM,T TH F
Alejandrina  Lopez,LICENSED,4,Center,0,Not Rated,27,VICKSBURG,39180,75,WARREN,601-498-5437,12 PM - 11 AM,F
Deborah Ann Garcia,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,VICKSBURG,39180,75,WARREN,601-500-0821,12 PM - 2 AM,T TH 
Deborah Kendrick,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,VICKSBURG,39180,75,WARREN,601-500-8938,12 PM - 5 PM,T W 
Deborah Obilana,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,VICKSBURG,39183,75,WARREN,601-501-1278,11 AM - 2 AM,M T 
Deborah Preston,UNLICENSED,6,Relative In-Home,0,Not Rated,5,VICKSBURG,39183,75,WARREN,601-501-1345,11 AM - 5 AM,
Deborah Roberson,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,VICKSBURG,39183,75,WARREN,601-502-3959,1 PM - 5 AM,M TH F
Debra  Scaife,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,VICKSBURG,39180,75,WARREN,601-503-7306,10 AM - 5 PM,M T W TH 
Alianza Eco International School,LICENSED,4,Center,0,Not Rated,108,VICKSBURG,39180,75,WARREN,601-506-0909,11 AM - 3 AM,T TH F
Debra Martin,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,VICKSBURG,39183,75,WARREN,601-507-3168,11 AM - 6 AM,M T 
Debra Wade,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,VICKSBURG,39180,75,WARREN,601-513-3913,3 PM - 9 AM,M W 
Deedra Carroll Lewis,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,VICKSBURG,39183,75,WARREN,601-513-7954,3 PM - 5 PM,M 
Delaina Waggoner,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,VICKSBURG,39180,75,WARREN,601-514-1007,10 AM - 9 AM,T TH 
Delfina Flores,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,VICKSBURG,39180,75,WARREN,601-519-3828,1 PM - 7 AM,T TH 
Alice G K Kleberg Learning Center,LICENSED,4,Center,0,Not Rated,27,VICKSBURG,39183,75,WARREN,601-519-7388,10 AM - 2 PM,M T TH 
Delia Flores,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,VICKSBURG,39180,75,WARREN,601-527-5236,12 PM - 9 AM,T 
Delma Gallegos,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,VICKSBURG,39180,75,WARREN,601-528-8410,2 PM - 4 AM,W TH F
Alice Pichardo,LICENSED,3,Group Home,0,Not Rated,50,VICKSBURG,39183,75,WARREN,601-531-8644,4 PM - 2 PM,T W F
Demetria LaShone Richardson,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,VICKSBURG,39180,75,WARREN,601-542-3309,12 PM - 4 PM,M T W TH 
Dena Wood,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,VICKSBURG,39183,75,WARREN,601-543-0630,4 PM - 4 PM,M W TH F
Denise Findley,UNLICENSED,6,Relative In-Home,0,Not Rated,5,VICKSBURG,39183,75,WARREN,601-544-0370,9 AM - 9 AM,W F
Alicia Poulos,LICENSED,3,Group Home,0,Not Rated,22,VICKSBURG,39180,75,WARREN,601-544-0450,9 AM - 11 AM,T W F
Denise L'Ann McKnight,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,VICKSBURG,39183,75,WARREN,601-544-3931,10 AM - 2 AM,TH 
Denisse Odeth Piedra,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,VICKSBURG,39183,75,WARREN,601-544-4443,2 PM - 4 AM,M T F
All About Kids,LICENSED,4,Center,0,Not Rated,128,VICKSBURG,39180,75,WARREN,601-549-2011,3 PM - 7 AM,TH 
Destiny  Guardado,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,VICKSBURG,39183,75,WARREN,601-549-8180,11 AM - 10 AM,M W TH 
Destiny Ariel Richardson,UNLICENSED,6,Relative In-Home,0,Not Rated,5,VICKSBURG,39183,75,WARREN,601-551-5968,12 PM - 1 PM,TH F
Dona Mesler,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,VICKSBURG,39180,75,WARREN,601-594-4916,10 AM - 12 PM,W TH F
Doris Springer Piper,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,VICKSBURG,39180,75,WARREN,601-613-8774,3 PM - 7 AM,M T TH 
Duc Tram,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,VICKSBURG,39183,75,WARREN,601-619-7688,3 PM - 5 AM,M 
Edelmira  Webb,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,VICKSBURG,39180,75,WARREN,601-622-7682,10 AM - 3 PM,T TH 
Allen Montessori Academy,LICENSED,4,Center,1,Low,39,VICKSBURG,39180,75,WARREN,601-623-9085,10 AM - 2 PM,M TH F
Alliance After School Care at Reagan,LICENSED,2,Slot Contractor,0,Not Rated,50,VICKSBURG,39183,75,WARREN,601-633-0094,4 PM - 9 AM,M W TH F
Elizabeth Bullock,UNLICENSED,6,Relative In-Home,0,Not Rated,5,VICKSBURG,39180,75,WARREN,601-636-0036,2 PM - 11 AM,M TH 
Elizabeth Harmon,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,VICKSBURG,39180,75,WARREN,601-636-2362,1 PM - 2 AM,T 
Allstars Learning Center Inc,LICENSED,4,Center,1,Low,105,VICKSBURG,39180,75,WARREN,601-636-3616,3 PM - 4 AM,M W 
Almost Home Childcare,LICENSED,4,Center,0,Not Rated,53,VICKSBURG,39180,75,WARREN,601-645-9080,10 AM - 8 AM,
Elva Nora Ortiz,UNLICENSED,6,Relative In-Home,0,Not Rated,5,VICKSBURG,39180,75,WARREN,601-650-8455,11 AM - 3 AM,F
Alpine Christian Academy,LICENSED,4,Center,1,Low,50,VICKSBURG,39180,75,WARREN,601-684-3331,11 AM - 7 AM,M T 
Alton Headstart,LICENSED,4,Center,1,Low,52,VICKSBURG,39180,75,WARREN,601-693-0028,3 PM - 9 AM,
Ama  Doke,LICENSED,3,Group Home,4,Very Good,37,VICKSBURG,39183,75,WARREN,601-697-9255,9 AM - 9 AM,T W TH 
Amanda Maini,LICENSED,3,Group Home,0,Not Rated,135,VICKSBURG,39183,75,WARREN,601-714-4440,1 PM - 9 AM,M T TH 
Geraldine Gowe,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,VICKSBURG,39183,75,WARREN,601-732-3672,10 AM - 5 PM,TH F
Amber  Riggs,LICENSED,4,Center,0,Not Rated,38,VICKSBURG,39183,75,WARREN,601-736-3829,1 PM - 2 AM,T F
Amelia Rodriguez,LICENSED,3,Group Home,4,Very Good,65,VICKSBURG,39183,75,WARREN,601-748-3221,3 PM - 2 PM,M F
Guadalupe Uresti Ceballos,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,VICKSBURG,39180,75,WARREN,601-776-1178,1 PM - 2 PM,M T W F
Gwendolyn  Malena,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,VICKSBURG,39183,75,WARREN,601-776-3338,4 PM - 9 AM,M T TH F
Amy's Playschool,LICENSED,4,Center,1,Low,141,VICKSBURG,39183,75,WARREN,601-795-9877,4 PM - 5 AM,M TH F
Humaira Cheema,UNLICENSED,6,Relative In-Home,0,Not Rated,5,VICKSBURG,39180,75,WARREN,601-818-1247,12 PM - 4 PM,M T W 
Ana's Daycare,LICENSED,4,Center,1,Low,92,VICKSBURG,39183,75,WARREN,601-825-3769,9 AM - 9 AM,W TH F
Ashley Barrett,LICENSED,4,Center,0,Not Rated,105,VICKSBURG,39180,75,WARREN,662-342-8634,9 AM - 8 AM,M W TH F
Lucinda Carrillo,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,VICKSBURG,39180,75,WARREN,662-364-2971,9 AM - 4 AM,TH 
Lurdmarie Rainbolt,UNLICENSED,6,Relative In-Home,0,Not Rated,5,VICKSBURG,39183,75,WARREN,662-369-7820,12 PM - 12 PM,M W F
Aurora Ortiz Ruiz,LICENSED,4,Center,0,Not Rated,32,VICKSBURG,39183,75,WARREN,662-383-2332,1 PM - 10 AM,M T W TH 
Austin Children's Garden,LICENSED,4,Center,0,Not Rated,30,VICKSBURG,39180,75,WARREN,662-390-3369,11 AM - 9 AM,M W TH F
Austin Montessori School After School Program,LICENSED,4,Center,2,Average,92,VICKSBURG,39183,75,WARREN,662-394-9484,2 PM - 5 PM,M F
Maria L Vasquez,UNLICENSED,6,Relative In-Home,0,Not Rated,5,VICKSBURG,39183,75,WARREN,662-453-4584,12 PM - 1 PM,T F
Meggan Ratliff,UNLICENSED,6,Relative In-Home,0,Not Rated,5,VICKSBURG,39180,75,WARREN,662-561-6180,10 AM - 2 AM,M W TH 
Melissa M Betancourt,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,VICKSBURG,39180,75,WARREN,662-571-0293,2 PM - 9 AM,M T W TH 
Michelle Marie  Neff,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,VICKSBURG,39180,75,WARREN,662-579-2002,3 PM - 4 PM,W TH F
Miriam D O'Reilly,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,VICKSBURG,39180,75,WARREN,662-588-6530,11 AM - 12 PM,W 
Bauer School Readiness Academy,LICENSED,4,Center,0,Not Rated,141,VICKSBURG,39183,75,WARREN,662-590-2563,11 AM - 8 AM,W 
Misty Wiedecker,UNLICENSED,6,Relative In-Home,0,Not Rated,5,VICKSBURG,39183,75,WARREN,662-590-3189,12 PM - 11 AM,M TH F
Naibys  Obregon,UNLICENSED,6,Relative In-Home,0,Not Rated,5,VICKSBURG,39180,75,WARREN,662-592-1719,9 AM - 2 AM,M T TH 
Nicole Key,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,VICKSBURG,39180,75,WARREN,662-624-6053,12 PM - 5 AM,M W F
Nima Lhamo Tamang,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,VICKSBURG,39180,75,WARREN,662-624-9962,1 PM - 11 AM,W TH 
Noelia Castillo-Botello,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,VICKSBURG,39180,75,WARREN,662-627-2110,11 AM - 1 PM,M T W TH F
Noemi  Martinez,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,VICKSBURG,39180,75,WARREN,662-627-2110,11 AM - 11 AM,T W 
Olenka Sylvana Lane,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,VICKSBURG,39180,75,WARREN,662-631-5023,3 PM - 5 AM,F
Olga Alicia Salazar,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,VICKSBURG,39183,75,WARREN,662-631-5088,4 PM - 2 PM,TH 
Pamelia Mack,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,VICKSBURG,39180,75,WARREN,662-653-0211,10 AM - 3 PM,M T 
Patricia McCain,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,VICKSBURG,39183,75,WARREN,662-665-0266,9 AM - 9 AM,W 
Beginners World Learning Academy,LICENSED,4,Center,0,Not Rated,200,VICKSBURG,39180,75,WARREN,662-673-2330,1 PM - 4 AM,T W F
Pauline  Washington,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,VICKSBURG,39180,75,WARREN,662-695-0852,3 PM - 1 PM,TH F
Penny Hagler,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,VICKSBURG,39183,75,WARREN,662-703-1275,10 AM - 3 AM,W 
Quynhchi Dang,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,VICKSBURG,39183,75,WARREN,662-721-3319,1 PM - 12 PM,M W TH 
Rachel   Thurmond,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,VICKSBURG,39183,75,WARREN,662-721-8204,3 PM - 8 AM,W TH 
Raquel   Testardi,UNLICENSED,6,Relative In-Home,0,Not Rated,5,VICKSBURG,39183,75,WARREN,662-728-0099,2 PM - 5 AM,T W TH 
Ben Thi Nguyen,LICENSED,4,Center,0,Not Rated,100,VICKSBURG,39183,75,WARREN,662-728-0099,12 PM - 5 PM,M T TH F
Bertha Guerrero,LICENSED,4,Center,0,Not Rated,49,VICKSBURG,39180,75,WARREN,662-746-1407,3 PM - 6 AM,M T F
Renee Roach,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,VICKSBURG,39183,75,WARREN,662-746-3940,9 AM - 8 AM,M 
Renee Sanchez,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,VICKSBURG,39180,75,WARREN,662-746-4004,3 PM - 7 AM,M T W 
Bess Race Elementary-Ryan Family YMCA,LICENSED,4,Center,1,Low,43,VICKSBURG,39180,75,WARREN,662-746-5321,2 PM - 8 AM,M TH 
Best Lil Schoolhouse 2,LICENSED,4,Center,4,Very Good,65,VICKSBURG,39183,75,WARREN,662-746-6595,10 AM - 11 AM,M TH F
Betty De Hoyos,LICENSED,4,Center,0,Not Rated,105,VICKSBURG,39183,75,WARREN,662-773-2268,1 PM - 8 AM,T W TH 
Betty's Play House,LICENSED,4,Center,0,Not Rated,73,VICKSBURG,39183,75,WARREN,662-792-6150,4 PM - 2 AM,TH F
Bettys Learning Center,LICENSED,4,Center,0,Not Rated,86,VICKSBURG,39180,75,WARREN,662-798-0048,12 PM - 7 AM,W 
Beverly Fredenburg,LICENSED,4,Center,0,Not Rated,44,VICKSBURG,39183,75,WARREN,662-809-1823,3 PM - 4 PM,F
Bien Vu,LICENSED,4,Center,0,Not Rated,12,VICKSBURG,39180,75,WARREN,662-833-3515,9 AM - 11 AM,W 
Binh Thi Luong,LICENSED,4,Center,0,Not Rated,18,VICKSBURG,39180,75,WARREN,662-838-2871,10 AM - 10 AM,W TH 
Sara Sanchez,UNLICENSED,6,Relative In-Home,0,Not Rated,5,VICKSBURG,39183,75,WARREN,662-840-5227,2 PM - 9 AM,T 
Sharmica Brown,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,VICKSBURG,39180,75,WARREN,662-902-3035,1 PM - 9 AM,T TH F
Blue Haze Elementary - Westside YMCA,LICENSED,4,Center,0,Not Rated,51,VICKSBURG,39180,75,WARREN,769-222-6606,12 PM - 4 AM,M F
Silvia Noriega,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,VICKSBURG,39180,75,WARREN,769-251-3263,3 PM - 4 PM,
Bluebonnet School of Canyon Creek,LICENSED,4,Center,1,Low,141,VICKSBURG,39183,75,WARREN,769-257-5730,11 AM - 10 AM,M T F
Stephanie  Washington,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,VICKSBURG,39180,75,WARREN,769-798-1708,1 PM - 11 AM,M T TH F
Bonita Park Head Start CDC,LICENSED,4,Center,0,Not Rated,63,VICKSBURG,39183,75,WARREN,228-218-6471,3 PM - 3 PM,M TH 
Sylvia Granville,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,VICKSBURG,39180,75,WARREN,228-896-3770,4 PM - 2 AM,F
4 Our Kids Learning Academy,LICENSED,4,Center,0,Not Rated,50,TYLERTOWN,39667,74,WALTHALL,228-219-6139,10 AM - 11 AM,F
Allison Dietz,UNLICENSED,6,Relative In-Home,0,Not Rated,5,TYLERTOWN,39667,74,WALTHALL,228-261-9181,2 PM - 4 AM,M W F
Angela Garza,UNLICENSED,6,Relative In-Home,0,Not Rated,5,JAYESS,39641,74,WALTHALL,228-539-2759,12 PM - 9 AM,T W F
"A+ Kidz Care Learning Center 2, LLC",LICENSED,4,Center,0,Not Rated,30,TYLERTOWN,39667,74,WALTHALL,228-864-2589,4 PM - 1 PM,F
Betty Ibrahim,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,TYLERTOWN,39667,74,WALTHALL,601-286-3206,3 PM - 2 PM,T W TH 
Academia Preescolar,LICENSED,4,Center,0,Not Rated,61,TYLERTOWN,39667,74,WALTHALL,601-319-0337,2 PM - 4 PM,M W F
Brigida Martinez,UNLICENSED,6,Relative In-Home,0,Not Rated,5,TYLERTOWN,39667,74,WALTHALL,601-354-2464,12 PM - 1 PM,M T W TH 
Exilta  George,UNLICENSED,6,Relative In-Home,0,Not Rated,5,TYLERTOWN,39667,74,WALTHALL,601-683-7082,2 PM - 9 AM,T TH F
"George Mercado, Jr.",UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,TYLERTOWN,39667,74,WALTHALL,601-731-1098,1 PM - 6 AM,T 
American Day Care,LICENSED,4,Center,0,Not Rated,50,TYLERTOWN,39667,74,WALTHALL,601-756-2057,1 PM - 2 PM,T W TH 
Amy  Williams,LICENSED,3,Group Home,0,Not Rated,43,TYLERTOWN,39667,74,WALTHALL,601-783-6134,10 AM - 11 AM,T W 
Ana Rivera,LICENSED,3,Group Home,0,Not Rated,41,TYLERTOWN,39667,74,WALTHALL,601-823-4009,11 AM - 5 AM,M TH F
Maria De Jesus Mirano,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,TYLERTOWN,39667,74,WALTHALL,662-402-5435,12 PM - 3 PM,M T W TH F
Maria Magdalena Sanchez,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,KOKOMO,39643,74,WALTHALL,662-454-9255,1 PM - 5 AM,M TH 
Back to Basic Christian Child Care,LICENSED,4,Center,1,Low,41,JAYESS,39641,74,WALTHALL,662-487-7386,11 AM - 1 PM,T F
Bedford Christian Academy and Montessori Preschool,LICENSED,4,Center,0,Not Rated,44,TYLERTOWN,39667,74,WALTHALL,662-653-3181,2 PM - 4 AM,M T W TH 
Patricia Mae King-Turner,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,TYLERTOWN,39667,74,WALTHALL,662-658-1254,3 PM - 5 PM,M T W F
Paula Laurendine,UNLICENSED,6,Relative In-Home,0,Not Rated,5,TYLERTOWN,39667,74,WALTHALL,662-690-3980,11 AM - 5 PM,M T W TH F
Stacey Greene,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,TYLERTOWN,39667,74,WALTHALL,769-524-4587,12 PM - 1 PM,M 
Alexis Kathleen Sylva,LICENSED,3,Group Home,0,Not Rated,100,NEW ALBANY,38652,73,UNION,601-502-3659,3 PM - 9 AM,T W TH F
Alief YMCA at Bush Elementary,LICENSED,2,Slot Contractor,0,Not Rated,54,NEW ALBANY,38652,73,UNION,601-544-1591,1 PM - 6 AM,M TH F
All-Stars R Us,LICENSED,4,Center,0,Not Rated,50,NEW ALBANY,38652,73,UNION,601-616-3483,9 AM - 12 PM,M 
Alliance After School Care at Bowie,LICENSED,2,Slot Contractor,0,Not Rated,30,NEW ALBANY,38652,73,UNION,601-625-7344,9 AM - 5 AM,T W TH F
Alliance After School Care at Thomas,LICENSED,2,Slot Contractor,0,Not Rated,88,NEW ALBANY,38652,73,UNION,601-634-1070,2 PM - 6 AM,TH 
AlphaBest @ Henderson Elementary,LICENSED,2,Slot Contractor,1,Low,88,NEW ALBANY,38652,73,UNION,601-664-8593,12 PM - 11 AM,T W F
Americas Choice Children Center,LICENSED,4,Center,0,Not Rated,100,NEW ALBANY,38652,73,UNION,601-764-3950,10 AM - 2 PM,W 
Aunt Susis School House,LICENSED,4,Center,0,Not Rated,40,MYRTLE,38650,73,UNION,662-378-9530,10 AM - 3 AM,M T TH F
Marah Nemec,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,BLUE SPRINGS,38828,73,UNION,662-383-0069,2 PM - 1 PM,M W TH F
Maria Guadalupe Rivas,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,NEW ALBANY,38652,73,UNION,662-451-7899,10 AM - 4 PM,T F
Barbee's Baby Camp,LICENSED,4,Center,1,Low,50,NEW ALBANY,38652,73,UNION,662-571-0047,4 PM - 11 AM,M W TH F
Bastrop Child Development Center,LICENSED,4,Center,0,Not Rated,50,NEW ALBANY,38652,73,UNION,662-588-5732,9 AM - 10 AM,W 
Bethel's Learning Center,LICENSED,4,Center,0,Not Rated,43,NEW ALBANY,38652,73,UNION,662-759-0280,2 PM - 9 AM,M T W TH F
BookWorm Learning Center LLC,LICENSED,4,Center,0,Not Rated,30,MYRTLE,38650,73,UNION,228-896-3770,11 AM - 6 AM,TH F
Diana Guerra,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,TUNICA,38676,72,TUNICA,601-572-1397,11 AM - 6 AM,T W TH F
Doris Record,UNLICENSED,6,Relative In-Home,0,Not Rated,5,TUNICA,38676,72,TUNICA,601-613-0822,12 PM - 4 AM,T F
AlphaBest @ Mitchell Elementary,LICENSED,2,Slot Contractor,0,Not Rated,25,TUNICA,38676,72,TUNICA,601-670-0828,10 AM - 6 AM,F
Evelia Jaimes,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,DUNDEE,38626,72,TUNICA,601-683-2101,1 PM - 1 PM,M T 
Francis Rich,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,TUNICA,38676,72,TUNICA,601-701-3962,3 PM - 3 PM,M W TH F
Amanda Brinkley,LICENSED,3,Group Home,0,Not Rated,40,ROBINSONVILLE,38664,72,TUNICA,601-713-0202,2 PM - 9 AM,T W F
Gina Lynn Lehne,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,TUNICA,38676,72,TUNICA,601-735-9437,3 PM - 6 AM,T W TH F
Haley Martinez,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,TUNICA,38676,72,TUNICA,601-783-2905,2 PM - 9 AM,M T W F
An Thi Tran,LICENSED,3,Group Home,0,Not Rated,40,ROBINSONVILLE,38664,72,TUNICA,601-796-3990,9 AM - 4 PM,TH 
Ida Diaz,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,DUNDEE,38626,72,TUNICA,601-823-0819,10 AM - 2 AM,M W TH F
Anthony  Boyd,LICENSED,4,Center,0,Not Rated,24,TUNICA,38676,72,TUNICA,662-247-3088,9 AM - 2 AM,M T W 
Lashunda  Tennell,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,ROBINSONVILLE,38664,72,TUNICA,662-303-7194,9 AM - 5 AM,TH F
LaToya Shunte' Payne,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,DUNDEE,38626,72,TUNICA,662-315-8099,9 AM - 6 AM,W TH 
Lori Scott,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,ROBINSONVILLE,38664,72,TUNICA,662-358-4412,2 PM - 4 AM,M T TH 
Margi Virginia Johnson,UNLICENSED,6,Relative In-Home,0,Not Rated,5,TUNICA,38676,72,TUNICA,662-388-4093,12 PM - 4 AM,T W TH 
Mariela Singh,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,TUNICA,38676,72,TUNICA,662-487-3170,10 AM - 1 PM,T W F
Marilyn Londenberg,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,TUNICA,38676,72,TUNICA,662-489-0398,11 AM - 6 AM,M T TH 
Mary  Elizabeth Davis,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,ROBINSONVILLE,38664,72,TUNICA,662-537-4003,10 AM - 3 AM,M T 
Melissa Mason,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,ROBINSONVILLE,38664,72,TUNICA,662-571-0596,1 PM - 2 PM,M TH 
Renee Marie Walker,UNLICENSED,6,Relative In-Home,0,Not Rated,5,SLEDGE,38670,72,TUNICA,662-746-3477,1 PM - 4 PM,M T W F
Reyna Lavette Harris,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,TUNICA,38676,72,TUNICA,662-746-4738,9 AM - 2 PM,M T TH F
Robin Engle,UNLICENSED,6,Relative In-Home,0,Not Rated,5,ROBINSONVILLE,38664,72,TUNICA,662-754-3050,4 PM - 10 AM,M TH F
Bettye Chambliss,LICENSED,4,Center,0,Not Rated,44,ROBINSONVILLE,38664,72,TUNICA,662-792-9207,1 PM - 4 PM,F
Shelia  Vanburen,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,TUNICA,38676,72,TUNICA,662-962-6673,11 AM - 2 PM,M T F
Bobbie Cadwalader,LICENSED,4,Center,0,Not Rated,65,TUNICA,38676,72,TUNICA,769-572-5395,1 PM - 2 AM,M W TH F
Stephanie  Stapleton,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,ROBINSONVILLE,38664,72,TUNICA,769-798-0480,10 AM - 3 PM,M T W F
Stephanie Michelle Rocha,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,TUNICA,38676,72,TUNICA,769-798-7244,10 AM - 10 AM,
AlphaBest @ Light Farms Elementary,LICENSED,2,Slot Contractor,0,Not Rated,70,IUKA,38852,71,TISHOMINGO,601-680-4423,10 AM - 11 AM,T W TH 
